book_name,details_page,five_star_rating,four_star_rating,one_star_rating,page_number,three_star_rating,two_star_rating
"My First Sticker Books - Alphabet, Numbers, Shapes and Colours, Animals and Transport (Set of 4 Books) - Activity Books with 400+ stickers - Age 3+",https://www.amazon.in/My-First-Sticker-Books-Transport/dp/8119099478,59%,17%,9%,7,9%,6%
"Little Colouring Books for Kids (Set of 10 Books) - Gift to children for painting, drawing and coloring - Alphabets, Animals, Birds, Flags, Flowers, ... Transport, Vegetables - 3 to 6 years old",https://www.amazon.in/Colouring-Books-Set-10/dp/9350332167,57%,25%,3%,7,12%,3%
AKS MONEY MANTRA BOOK 2,https://www.amazon.in/AKS-MONEY-MANTRA-BOOK-2/dp/8196807872,75%,25%,,7,,
1001 Ultimate Brain Booster Activities for 4+ Years Old Kids |Enhance the Child Mind with Cognitive Excellence with Interactive Activity Book,https://www.amazon.in/Ultimate-Brain-Booster-Activities-Years/dp/8131958248,72%,20%,2%,7,5%,1%
"I Will Not Wear Underwear!: A Funny and Interactive Children’s Book for Early Readers, Pre-K, Grade 1 and 2nd Grade (Sammy Bird)",https://www.amazon.in/Will-Not-Wear-Underwear-Interactive-ebook/dp/B0D96JRLST,74%,13%,,6,13%,
"MTG NSO-IMO-IEO (Science, Mathematics & English) Olympiad Workbook Combo Class-1 (Set of 3 Books) | MCQs, Previous Years Solved Paper & Achievers Section - SOF Olympiad Preparation Books For 2024-25 Exam",https://www.amazon.in/NSO-IMO-IEO-Mathematics-Olympiad-Workbook-Achievers/dp/B0CZNZSJYC,66%,26%,,6,9%,
"MTG NSO-IMO-IEO (Science, Mathematics & English) Olympiad Workbook Combo Class-9 (Set of 3 Books) | MCQs, Previous Years Solved Paper & Achievers Section - SOF Olympiad Preparation Books For 2024-25 Exam",https://www.amazon.in/NSO-IMO-IEO-Mathematics-Olympiad-Workbook-Achievers/dp/B0CZP71NSL,78%,22%,,6,,
"Gandhi (Hindi)/?????: Asprishyata Ka Virodh, Bharat Chhodo Aandolan Aur Antim Kshan 1931-48; Part-2/?????????? ?? ?????, ???? ????? ?????? ?? ????? ???? 1931-48; ???-2",https://www.amazon.in/Gandhi-Hindi-%E0%A4%97%E0%A4%BE%E0%A4%82%E0%A4%A7%E0%A5%80-Asprishyata-%E0%A4%85%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A5%83%E0%A4%B6%E0%A5%8D%E0%A4%AF%E0%A4%A4%E0%A4%BE/dp/0143447653,,,,5,,
"QOKZEK Magic Practice Copybook, (4 BOOK + 1 PEN + 10 REFILL) Number Tracing Book for Pre-schoolers with Magic Pen, Magic calligraphy bookset for kids Reusable Writing Tool (SIZE- 19*13 cm)",https://www.amazon.in/Practice-Copybook-Preschoolers-calligraphy-Reusable/dp/B0743DXTVX,68%,15%,5%,7,9%,4%
"Trading Chart Pattern Book | Includes Candlestick Patterns, Breakout Patterns with Explaination",https://www.amazon.in/Trading-Pattern-Breakout-Candlestick-Complete/dp/B0B5S7XBVR,63%,17%,8%,7,9%,3%
Melodies of India (book by Monkey Magic),https://www.amazon.in/Melodies-India-book-Monkey-Magic/dp/9334056770,95%,3%,3%,8,,
"Phonic Reader (Illustrated) (Set of 6 Books) - Story Books for Kids - Bedtime Stories - 2 Years to 6 Years Old - Read Aloud to Infants, Toddlers",https://www.amazon.in/Phonic-Reader-Illustrated-Set-Books/dp/9394668772,59%,21%,5%,8,12%,3%
The Big Book of Odia Literature,https://www.amazon.in/Big-Book-Odia-Literature/dp/0143463349,,,,8,,
Drishti IAS Nibandh 9th Edition | Hindi Essay | UPSC Exam Books [Perfect Paperback] Team Drishti [Perfect Paperback] Team Drishti [Perfect Paperback] Team Drishti [Perfect Paperback] Team Drishti [Perfect Paperback] Team Drishti [Perfect Paperback] Team Drishti,https://www.amazon.in/Drishti-Nibandh-Hindi-Perfect-Paperback/dp/B0CPTYFSX4,62%,20%,10%,8,8%,
"TARGET PUBLICATIONS 30 Basic Good Habits Book for Kids | Manners Book Inculcate Kindness, Discipline, Fitness and Exercise | Children Books for 2-6 Year | Early Childhood Education",https://www.amazon.in/Inculcate-Kindness-Discipline-Exercise-Children/dp/B0922V7VVR,69%,23%,1%,8,5%,1%
Static GK - English 2024 Book RWA - Ankit Bhati Sir & Naveen Sir (Useful for all Govt. Exam 2024),https://www.amazon.in/Static-GK-English-Naveen-Useful/dp/B0CVKVGY6B,55%,26%,6%,8,6%,6%
MTG International Hindi Olympiad (IHO) Workbook for Class 5 - Quick Recap & MCQs - SOF IHO Olympiad Preparation Books For 2024-2025 Exam,https://www.amazon.in/International-Hindi-Olympiad-Workbook-Class/dp/9360230626,100%,,,8,,
"Rays Of Ink Motivational Quote Coloring Book for Adults | Ideal For Stress Relieving, Relaxing & Meditation | 120 GSM Thick Paper (ROI - 001)",https://www.amazon.in/Motivational-Coloring-Relieving-Relaxing-Meditation/dp/B09J1N44Y3,67%,19%,3%,8,8%,2%
Complete Ramban English | Bilingual | The Ultimate Book For All Competitive Exams,https://www.amazon.in/Complete-English-Bilingual-Ultimate-Competitive/dp/B0D87LN66C,100%,,,8,,
